101522,1,494
100164,1,1746
101028,1,11
100164,2,274
102307,1,2
100085,1,108682
102650,1,9480
101364,1,1324
102650,2,151
100085,2,7587
101364,2,2
102571,1,1
100078,1,27
102715,1,69
100085,3,108
102715,2,67
100078,2,103
101357,1,3
100085,4,3
100709,1,2528
101357,2,17
100709,2,18
100980,1,115
102708,1,2288
101357,3,6
100973,1,434
102972,1,846096
102972,2,147
102965,1,3
102965,2,1
100959,1,494
100001,1,88
100330,1,35
101043,1,171
102322,1,3867
101451,1,2
101029,1,331
101451,3,2
101437,1,37
101365,1,10
102716,1,63
102644,1,1015
100566,1,903
102716,2,1
102644,2,26
100079,2,2
102716,3,1
100573,4,1
100487,1,3219
100487,2,254
100974,1,76
100487,3,2
100895,1,324
101687,1,60808
101759,1,65
101759,2,1552
102959,1,52306
102959,2,6594
102959,3,380
102959,4,41
102959,5,2
101202,1,692
100410,1,509
100403,1,5383
100331,1,9120
100324,1,216
101044,1,572
100252,1,807
101603,1,56
102251,1,181
101037,1,151
102251,2,31
100732,1,136
102244,1,5
102251,3,2
101524,2,2
100166,1,242
100660,2,5730
102244,2,19
100166,2,751
101517,1,30713
100653,1,260
100087,1,1
100653,2,5
100166,3,1
102717,1,2
100166,5,1
100639,1,1929
100495,2,7
100639,2,360
100488,1,109
100639,3,2
100975,1,3566
100968,1,346692
103202,1,13
100332,1,131
101611,1,164
102331,1,9292
102324,1,346
102331,4,2
102324,2,269
101453,1,22898
100733,1,1760
102317,1,75
101381,1,158
102245,1,45
102317,2,58
100733,2,181
101453,2,443
101453,3,1
100726,1,11
100726,2,6
102653,1,17624
101295,1,17059
102653,2,417
102581,2,3
101295,2,902
102718,1,84
100990,2,1
100568,1,6
100568,2,84
100990,3,1
100990,4,1
100897,1,488897
100969,1,2
100969,2,120
100011,1,74
101211,1,961
101204,1,211
100340,1,98
100340,2,26
100340,3,1
100182,1,14024
100326,2,2
100182,2,3996
102812,1,4370
100182,3,851
100182,4,440
102318,1,1
100590,1,9
101454,1,25
102812,2,70
101526,1,201
100182,5,237
101526,2,3
100583,1,72316
100583,2,907
101368,1,116
100576,1,7
102719,1,1640
100497,1,1
100984,1,110
100898,1,196170
100898,2,4705
102897,1,22
100898,3,132
100005,1,393470
101212,1,10
100005,2,122650
101212,2,10
100005,3,1636
100341,1,166
100900,1,412
100262,1,11
101054,2,4
100742,1,498
102254,1,2145
101606,2,7
102813,1,6720
100176,1,73
102254,2,6294
101383,1,159
100807,1,11236
102254,3,984
100663,1,37
100176,2,63
100591,1,12
100176,3,1
100591,3,26
100728,1,2686
101376,1,2244
102655,1,37
101376,2,51
100591,5,4
100577,1,10
101698,1,1099
100899,1,3522
100899,2,51
100020,3,13
100020,4,1
101220,1,209
100421,1,1
101213,1,130
101700,1,2634
100414,1,5
100414,2,5
100901,1,11644
101055,1,655
100822,1,1
103054,1,1
100328,1,6492
103054,2,2
101048,1,172
100328,2,45
101391,1,1232
100743,1,1955
100249,1,42
100592,1,90
102656,1,1077
101298,1,3450
100578,1,3234
102656,2,1367
100578,2,1194
101298,2,78
101298,3,3
101298,5,2
100979,1,97
101699,1,1194
100014,1,12
100501,1,582
102500,1,19
101214,1,813
101214,2,1
102421,1,381
101207,1,228
102421,2,221
102421,3,14
100830,1,484
100902,1,144137
100902,2,21516
102421,4,3
100264,1,215
102421,5,4
101471,1,110
100823,1,22
102822,1,1
100329,1,928
101608,1,40750
100178,1,59
101608,2,181
100737,1,37
100665,1,28
100593,1,33
101608,3,2
101457,1,602
101457,2,374
100737,2,6
100593,2,5
100737,3,1
102657,1,286
102993,1,1
102986,1,8522
100022,1,116
101301,1,19
100015,1,6
101301,2,1274
100502,1,40
100430,1,11704
101222,1,433
100344,1,62692
101623,1,156
100831,1,1010
